#>T all_ip_with_pdb_0723
#>-ip_code-----up_name-----up_code-----lig_name----pdb_code----protein_chain-MI----------MX----------ligand_desolvation-new_binding
   IPR001254   THRB        P00734      apa         1aht        h           562         602         89.3975     620.       
   IPR001254   TRYB2       P20231      apa         1a0l        a           58          257         87.1451     0.         
   IPR001245   FGFR1       P11362      su2         1agw        a           489         641         64.3368     20000.     
   IPR000811   PYGM        P11217      htp         1axr        a           136         677         99.8674     540000.    
   IPR001818   MMP3        P08254      in7         1b8y        a           180         249         88.297      14.        
   IPR000668   CATK        P43235      i10         1bgo        a           133         323         69.8813     3.5        
   IPR001818   MMP3        P08254      s80         1biw        b           179         240         65.6884     104.       
   IPR000719   MK14        Q16539      sb6         1bl6        a           30          168         79.5927     160.       
   IPR000719   MK14        Q16539      sb5         1bmk        a           30          109         80.9548     25.        
   IPR001796   DYR         P00374      prd         1boz        a           8           137         87.933      0.         
   IPR001254   THRB        P00734      bai         1c1u        h           390         602         81.6642     5.6        
   IPR000242   PTN1        P18031      761         1c84        a           46          266         82.9993     9900.      
   IPR000242   PTN1        P18031      oba         1c85        a           46          262         89.2366     23000.     
   IPR000242   PTN1        P18031      opa         1c86        a           46          262         85.7531     20000.     
   IPR000242   PTN1        P18031      opa         1c87        a           46          262         82.6023     63000.     
   IPR001148   CAH2        P00918      pts         1cim        a           64          208         81.9119     1.52       
   IPR001148   CAH2        P00918      mts         1cin        a           64          208         80.2025     1.88       
   IPR001245   ABL1        P00519      pvb         6bl8        a           248         382         72.0755     0.         
   IPR000719   SRPK2       P78362      pvb         2x7g        a           87          232         77.9282     0.         
   IPR000719   CDK2        P24941      pvb         1ckp        a           10          144         84.124      0.         
   IPR001148   CAH2        P00918      eg2         1cnx        a           92          208         69.4783     43.        
   IPR002035   ITAL        P20701      803         1cqp        a           155         330         79.392      2400.      
   IPR001254   THRB        P00734      bpp         1d4p        b           406         602         83.6603     500.       
   IPR001818   MMP3        P08254      mm3         1d5j        a           179         240         76.7249     0.7        
   IPR016090   PA2GA       P14555      6in         1db5        a           22          118         86.043      152.       
   IPR016090   PA2GA       P14555      i3n         1dcy        a           22          118         87.4125     0.         
   IPR000719   MK14        Q16539      msq         1di9        a           30          168         77.4714     5000.      
   IPR001796   DYR         P00374      mxa         1u71        a           8           137         88.8837     33.        
   IPR001796   DYR         P00374      mxa         1dlr        a           8           137         91.1435     0.         
   IPR000719   CDK2        P24941      nw1         1e1x        a           10          144         88.3902     1300.      
   IPR000242   PTN1        P18031      878         1ecv        a           46          262         87.0254     14000.     
   IPR023210   ALDR        P15121      i84         1el3        a           21          301         62.741      0.         
   IPR002018   ACES        P22303      e20         4ey7        a           103         482         86.1833     0.         
   IPR000536   RARG        P13631      394         1exa        a           201         416         99.6119     0.         
   IPR001254   FA10        P00742      815         1f0r        a           317         451         74.1915     22.        
   IPR001254   FA10        P00742      pr2         1f0s        a           317         450         76.4004     18.        
   IPR001179   FKB1A       P62942      gpi         1f40        a           27          100         58.1371     1000.      
   IPR001254   FA10        P00742      dx9         1fax        a           276         452         73.1633     41.        
   IPR001245   FGFR1       P11362      su1         1fgi        a           484         640         85.177      10000.     
   IPR001818   MMP13       P45452      way         1fls        a           183         245         64.8678     33.        
   IPR001818   MMP13       P45452      way         1fm1        a           183         245         63.2634     0.         
   IPR000536   PPARG       P37231      brl         2prg        a           309         501         90.0136     0.         
   IPR000536   PPARG       P37231      brl         1zgy        a           309         501         92.8053     0.         
   IPR000536   PPARG       P37231      brl         5ycp        a           309         501         92.1874     0.         
   IPR000536   PPARG       P37231      brl         4o8f        a           309         501         94.7916     0.         
   IPR000536   PPARG       P37231      brl         5ji0        d           294         501         94.0464     0.         
   IPR000536   PPARG       P37231      brl         4ema        a           309         501         93.2934     0.         
   IPR000536   PPARG       P37231      brl         3cs8        a           296         501         90.9981     0.         
   IPR000536   PPARG       P37231      brl         3dzy        d           309         501         94.0179     0.         
   IPR000536   PPARG       P37231      brl         4xld        a           302         501         91.4585     0.         
   IPR000536   PPARG       P37231      brl         1fm6        d           309         501         92.7494     0.         
   IPR001245   ABL1        P00519      prc         1fpu        a           248         382         91.1381     0.         
   IPR000811   PYGM        P11217      cr1         1fu7        a           136         677         94.267      0.         
   IPR001148   CAH2        P00918      fsb         1g45        a           92          208         67.0861     2.3        
   IPR001148   CAH2        P00918      fsb         1g1d        a           92          208         70.7877     0.36       
   IPR001254   FA10        P00742      r11         1g2m        a           276         451         77.5507     40.        
   IPR001254   THRB        P00734      r11         1g32        b           365         602         79.286      780.       
   IPR001818   MMP3        P08254      hqq         1g4k        a           180         241         87.2078     2000.      
   IPR001148   CAH2        P00918      bsb         1g4o        a           92          208         65.7732     5.6        
   IPR001148   CAH2        P00918      f2b         1g46        a           92          208         65.5861     1.6        
   IPR001148   CAH2        P00918      f2b         1g52        a           92          208         69.8212     0.29       
   IPR001148   CAH2        P00918      f6b         1g48        a           92          208         66.3904     3.9        
   IPR001148   CAH2        P00918      f6b         1g53        a           92          208         71.5626     0.91       
   IPR001148   CAH2        P00918      ffb         1g4j        a           92          208         69.3837     2.         
   IPR001148   CAH2        P00918      ffb         1g4j        a           57          140         69.3837     2.         
   IPR001148   CAH2        P00918      ffb         1g54        a           92          208         68.2508     1.5        
   IPR000719   CDK2        P24941      i17         1g5s        a           10          145         82.3402     48.        
   IPR000242   PTN1        P18031      col         1gfy        a           46          262         83.3941     8320.      
   IPR000719   CDK2        P24941      1pu         1gih        a           10          145         90.5105     0.         
   IPR000719   CDK2        P24941      1pu         1gii        a           10          145         86.1804     0.         
   IPR000719   CDK2        P24941      2pu         1gij        a           10          145         82.2284     0.         
   IPR001254   UROK        P00749      133         1gj8        b           208         408         72.5244     110.       
   IPR001254   UROK        P00749      134         1gj9        b           208         408         76.6968     0.         
   IPR001254   UROK        P00749      135         1gja        b           209         409         78.1637     3800.      
   IPR001254   UROK        P00749      136         1gjd        b           208         408         76.139      6000.      
